,TURKCE_D,TURKCE_Y,TURKCE_B,TURKCE_N,INK_D,INK_Y,INK_B,INK_N,DIN_D,DIN_Y,DIN_B,DIN_N,ING_D,ING_Y,ING_B,ING_N,MAT_D,MAT_Y,MAT_B,MAT_N,FEN_D,FEN_Y,FEN_B,FEN_N,TOPLAM_N,YUZDELIK
0,0.75,0.25,0.0,0.7497656982193064,0.8,0.2,0.0,0.8005997001499251,1.0,0.0,0.0,1.0,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.4,0.375,0.4444444444444444,0.41181657848324504,0.11111111111111116,0.5555555555555556,1.0,0.1941666666666667,0.5059631369714492,0.39016018306636147
1,0.875,0.125,0.0,0.874414245548266,0.6000000000000001,0.4,0.0,0.5997001499250375,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.666666666666667,0.3333333333333333,0.0,0.6675,0.8000000000000002,0.25,0.1111111111111111,0.7936507936507933,0.4444444444444444,0.5555555555555556,0.0,0.4441666666666667,0.7228044813877843,0.0675057208237986
2,0.625,0.375,0.0,0.6251171508903466,0.6000000000000001,0.2,1.0,0.6506746626686658,0.666666666666667,0.3333333333333333,0.0,0.6675,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.4,0.5,0.3333333333333333,0.382716049382716,0.6666666666666667,0.2222222222222222,0.3333333333333333,0.6941666666666665,0.5786049873509218,0.21205186880244087
3,0.875,0.125,0.0,0.874414245548266,0.40000000000000013,0.4,1.0,0.4497751124437781,0.3333333333333335,0.6666666666666666,0.0,0.3325,1.0,0.0,0.0,1.0,0.7000000000000001,0.25,0.2222222222222222,0.7054673721340388,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.794723527285869,0.3996948893974065
4,0.625,0.375,0.0,0.6251171508903466,0.6000000000000001,0.4,0.0,0.5997001499250375,1.0,0.0,0.0,1.0,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.09999999999999998,1.0,0.2222222222222222,0.0,0.8888888888888891,0.1111111111111111,0.0,0.8891666666666668,0.5421033610408386,0.7261632341723874
5,0.5,0.5,0.0,0.499531396438613,0.6000000000000001,0.4,0.0,0.5997001499250375,0.666666666666667,0.3333333333333333,0.0,0.6675,0.3333333333333335,0.3333333333333333,1.0,0.4175,0.0,0.25,1.0,0.08818342151675485,0.4444444444444444,0.5555555555555556,0.0,0.4441666666666667,0.3010480664980122,0.553394355453852
6,0.625,0.375,0.0,0.6251171508903466,0.40000000000000013,0.4,1.0,0.4497751124437781,1.0,0.0,0.0,1.0,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.6,0.25,0.3333333333333333,0.6172839506172838,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.6628117094325985,0.25400457665903886
7,0.875,0.125,0.0,0.874414245548266,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,0.666666666666667,0.3333333333333333,0.0,0.6675,1.0,0.0,0.0,1.0,0.6,0.0,0.5555555555555556,0.6763668430335097,0.4444444444444444,0.5555555555555556,0.0,0.4441666666666667,0.6866642573183954,0.19107551487414187
8,0.25,0.75,0.0,0.2502343017806935,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,0.666666666666667,0.3333333333333333,0.0,0.6675,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.09999999999999998,0.625,0.5555555555555556,0.08818342151675485,0.8888888888888891,0.1111111111111111,0.0,0.8891666666666668,0.33754969280809544,0.5259344012204423
9,1.0,0.0,0.0,1.0,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,1.0,0.0,0.0,1.0,0.666666666666667,0.3333333333333333,0.0,0.6675,0.6,0.375,0.2222222222222222,0.5881834215167547,0.7777777777777779,0.2222222222222222,0.0,0.7774999999999997,0.879653053848934,0.09115179252479022
10,0.875,0.125,0.0,0.874414245548266,0.20000000000000018,0.8,0.0,0.2008995502248876,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.20000000000000007,0.625,0.4444444444444444,0.1763668430335097,0.4444444444444444,0.5555555555555556,0.0,0.4441666666666667,0.32526201662450305,0.45766590389016004
11,0.875,0.125,0.0,0.874414245548266,0.6000000000000001,0.4,0.0,0.5997001499250375,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4,0.25,0.5555555555555556,0.4409171075837741,0.8888888888888891,0.1111111111111111,0.0,0.8891666666666668,0.915431875677629,0.08276125095347062
12,0.375,0.625,0.0,0.3748828491096532,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,0.0,1.0,0.0,0.0,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.20000000000000007,0.5,0.5555555555555556,0.20634920634920628,0.11111111111111116,0.8888888888888888,0.0,0.11083333333333334,0.0,0.4668192219679633
13,0.375,0.625,0.0,0.3748828491096532,0.6000000000000001,0.4,0.0,0.5997001499250375,0.3333333333333335,0.6666666666666666,0.0,0.3325,1.0,0.0,0.0,1.0,0.5000000000000001,0.625,0.1111111111111111,0.4409171075837741,0.0,1.0,0.0,0.0,0.24069389230213245,0.37909992372234935
14,0.875,0.125,0.0,0.874414245548266,0.0,1.0,0.0,0.0,0.666666666666667,0.3333333333333333,0.0,0.6675,1.0,0.0,0.0,1.0,0.6,0.5,0.1111111111111111,0.5590828924162257,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.47250000000000003,0.5905312612938203,0.20137299771167044
15,0.75,0.25,0.0,0.7497656982193064,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.666666666666667,0.3333333333333333,0.0,0.6675,0.09999999999999998,0.125,1.0,0.20634920634920628,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.44597036501626297,0.70976353928299
16,0.75,0.25,0.0,0.7497656982193064,0.8,0.2,0.0,0.8005997001499251,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,0.125,0.4444444444444444,0.6472663139329804,0.5555555555555556,0.4444444444444444,0.0,0.5558333333333333,0.8558005059631371,0.24675819984744468
17,1.0,0.0,0.0,1.0,0.6000000000000001,0.4,0.0,0.5997001499250375,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.125,0.0,1.0,0.4444444444444444,0.5555555555555556,0.0,0.4441666666666667,1.0,0.0
18,0.625,0.375,0.0,0.6251171508903466,0.20000000000000018,0.8,0.0,0.2008995502248876,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.5000000000000001,0.375,0.3333333333333333,0.5,0.5555555555555556,0.4444444444444444,0.0,0.5558333333333333,0.4098301409468741,0.4221967963386727
19,0.875,0.125,0.0,0.874414245548266,0.20000000000000018,0.8,0.0,0.2008995502248876,1.0,0.0,0.0,1.0,0.3333333333333335,0.3333333333333333,1.0,0.4175,0.6,0.5,0.1111111111111111,0.5590828924162257,0.6666666666666667,0.2222222222222222,0.3333333333333333,0.6941666666666665,0.6989519335019878,0.7696414950419526
20,0.375,0.5,1.0,0.4058106841611997,0.20000000000000018,0.8,0.0,0.2008995502248876,0.3333333333333335,0.6666666666666666,0.0,0.3325,0.0,0.6666666666666666,1.0,0.08250000000000002,0.5000000000000001,0.5,0.2222222222222222,0.47089947089947093,1.0000000000000002,0.0,0.0,0.9999999999999999,0.4698229129020599,0.3413424866514111
21,0.25,0.75,0.0,0.2502343017806935,0.6000000000000001,0.4,0.0,0.5997001499250375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.5,0.2222222222222222,0.47089947089947093,0.11111111111111116,0.7777777777777777,0.3333333333333333,0.13916666666666666,0.07228044813877843,0.5053394355453851
22,0.875,0.125,0.0,0.874414245548266,0.6000000000000001,0.4,0.0,0.5997001499250375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.75,0.3333333333333333,0.14726631393298062,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.5540296349837366,0.2128146453089244
23,0.75,0.25,0.0,0.7497656982193064,0.40000000000000013,0.6000000000000001,0.0,0.4002998500749625,0.3333333333333335,0.6666666666666666,0.0,0.3325,1.0,0.0,0.0,1.0,0.4,0.625,0.2222222222222222,0.3527336860670194,0.5555555555555556,0.4444444444444444,0.0,0.5558333333333333,0.5421033610408386,0.44279176201372994
24,1.0,0.0,0.0,1.0,0.6000000000000001,0.2,1.0,0.6506746626686658,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7000000000000001,0.375,0.1111111111111111,0.6763668430335097,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.9761474521142031,0.1937452326468344
25,0.75,0.25,0.0,0.7497656982193064,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.625,0.0,0.5291005291005291,0.8888888888888891,0.1111111111111111,0.0,0.8891666666666668,0.7108782074448863,0.04576659038901601
26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.666666666666667,0.3333333333333333,0.0,0.6675,1.0,0.0,0.0,1.0,0.30000000000000016,0.75,0.2222222222222222,0.23544973544973546,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.4098301409468741,1.0
